disease_code,disease_name,crop,status,severity,action_required,chemical_control,organic_control,prevention,cultural_practices,symptoms,treatment_urgency
Apple___Apple_scab,Apple scab,Apple,DISEASED,Medium,Treat immediately,Apply Myclobutanil or Captan every 7-10 days,Use sulfur spray or neem oil,"Plant resistant varieties, rake fallen leaves in autumn","Prune for air circulation, remove infected leaves",Olive-green to black velvety spots on leaves and fruit,Moderate
Apple___Black_rot,Black rot,Apple,DISEASED,High,Immediate treatment needed,Apply Captan or Mancozeb every 7-14 days,Use copper fungicide or Bordeaux mixture,"Remove mummified fruits, prune dead wood","Sanitize pruning tools, clean up fallen fruit","Purple spots turning black, black shriveled fruit",Immediate
Apple___Cedar_apple_rust,Cedar apple rust,Apple,DISEASED,Medium,Treat within 7 days,Apply Myclobutanil or Propiconazole,Use sulfur dust or neem oil,"Remove nearby juniper trees, plant resistant varieties","Prune infected branches, improve air flow","Yellow-orange spots on leaves, cup-shaped structures",Moderate
Apple___healthy,healthy,Apple,HEALTHY,None,No action needed,None required - plant is healthy,Continue regular maintenance,"Maintain proper watering, fertilization, and sanitation practices","Regular monitoring, clean tools, proper spacing",No symptoms - plant appears healthy,None
Blueberry___healthy,healthy,Blueberry,HEALTHY,None,No action needed,None required - plant is healthy,Continue regular maintenance,"Maintain proper watering, fertilization, and sanitation practices","Regular monitoring, clean tools, proper spacing",No symptoms - plant appears healthy,None
Cherry_(including_sour)___Powdery_mildew,Powdery mildew,Cherry,DISEASED,Medium,Treat within 5-7 days,Apply Trifloxystrobin or Myclobutanil,Use milk spray (1:9 ratio) or potassium bicarbonate,"Ensure good air circulation, avoid excess nitrogen","Prune dense foliage, water at base only",White/gray powdery spots on leaves and stems,Moderate
Cherry_(including_sour)___healthy,healthy,Cherry,HEALTHY,None,No action needed,None required - plant is healthy,Continue regular maintenance,"Maintain proper watering, fertilization, and sanitation practices","Regular monitoring, clean tools, proper spacing",No symptoms - plant appears healthy,None
Corn_(maize)___Cercospora_leaf_spot Gray_leaf_spot,Cercospora leaf spot Gray leaf spot,Corn,DISEASED,Medium,Treat within 7 days,Apply Azoxystrobin or Pyraclostrobin,Use copper fungicide or neem oil,"Crop rotation, tillage to bury residue","Remove infected debris, resistant varieties",Gray-brown rectangular lesions parallel to leaf veins,Moderate
Corn_(maize)___Common_rust_,Common rust,Corn,DISEASED,Low-Medium,Monitor and treat if severe,Apply Azoxystrobin or Propiconazole,Use sulfur dust,"Plant resistant hybrids, early planting","Destroy volunteer corn, crop rotation",Small brown pustules on leaves,Low
Corn_(maize)___Northern_Leaf_Blight,Northern Leaf Blight,Corn,DISEASED,High,Immediate treatment,Apply Azoxystrobin or Pyraclostrobin,Use copper fungicide,"Plant resistant hybrids, crop rotation","Remove crop residue, tillage",Long cigar-shaped gray-green lesions,Immediate
